id,profit,online,age,inc,tenure,district
122,47,0,,,8.159999847,1200
123,10,0,,,6.5,1200
124,0,0,,,5.409999847,1200
125,396,0,6,7,41.15999985,1200
126,53,0,1,2,13.90999985,1200
127,96,0,3,6,2.75,1200
128,-25,0,4,9,14.25,1200
130,301,0,4,7,17.5,1200
131,475,0,7,4,37.40999985,1300
132,-7,0,,,3.160000086,1200
133,121,0,4,4,22.25,1100
134,175,0,,,5.329999924,1300
135,32,0,4,6,9.25,1200
136,-6,0,3,6,4.5,1200
137,110,0,,,6.079999924,1200
138,-54,0,4,6,4.079999924,1200
139,-118,0,2,6,10.07999992,1200
140,13,0,2,,1.330000043,1200
142,79,0,3,8,5.909999847,1300
143,-20,0,,,1.5,1300
144,-91,0,,,3,1200
145,52,0,,,8.25,1200
146,198,0,,,10.15999985,1200
148,23,0,5,6,26.75,1200
149,-60,0,3,7,5.909999847,1200
150,-33,0,,,11.57999992,1300
151,-9,0,,,1,1200
152,-19,0,,,4.409999847,1200
153,439,0,6,3,25.82999992,1200
154,167,0,6,6,30.07999992,1200
155,-63,0,6,3,2.160000086,1200
156,-25,0,6,6,5.409999847,1200
157,338,0,,,6.159999847,1200
158,78,0,4,6,7,1200
159,459,0,2,5,4,1300
160,-52,0,,,11.25,1300
161,136,0,,,2.75,1200
162,16,0,3,7,7.079999924,1200
163,-68,0,,7,9.079999924,1200
164,441,0,,,7.909999847,1200
165,263,0,7,6,14.32999992,1200
166,-59,0,5,5,3.579999924,1200
167,69,0,3,5,1,1200
168,-25,0,3,8,4.25,1200
169,639,0,4,9,15.40999985,1200
170,896,0,3,6,13.57999992,1200
171,-58,0,,,3.660000086,1200
172,642,0,2,6,5.159999847,1200
173,-37,0,5,1,20.40999985,1100
174,-28,0,,,3.75,1200
175,136,0,,,29.25,1100
176,49,0,4,1,5.079999924,1300
177,10,0,,,0.159999996,1200
179,-80,0,,2,7.079999924,1200
181,402,0,3,6,0.75,1200
182,439,0,5,5,3.75,1200
183,308,0,7,3,2.329999924,1200
184,0,0,5,5,10.5,1200
187,92,0,2,7,10.07999992,1200
188,14,0,4,5,21.40999985,1200
189,177,0,7,2,8.909999847,1200
190,14,0,2,9,5.079999924,1200
192,216,0,3,8,5,1200
193,-107,0,,,4.5,1100
194,-37,0,2,6,6.579999924,1300
195,33,0,3,1,2.410000086,1200
196,22,0,,,17.65999985,1200
197,-65,0,4,7,9.75,1200
199,-26,0,,,4.329999924,1200
200,126,0,2,8,4.909999847,1200
201,382,0,4,6,14.90999985,1200
202,5,0,5,3,22.5,1100
203,-88,0,2,6,7.75,1200
204,204,0,7,2,15.15999985,1200
205,170,0,5,5,5,1200
206,-24,0,5,4,20.57999992,1200
207,-24,0,,,2.910000086,1300
208,273,0,5,9,30.07999992,1200
209,404,0,4,6,3.5,1200
211,98,0,7,1,18.15999985,1200
212,11,0,3,7,1.909999967,1300
213,-17,0,7,9,27.25,1200
214,1,0,1,7,2.75,1100
217,-33,0,2,1,5.159999847,1200
219,175,0,,,13.65999985,1200
220,-110,0,2,6,5.75,1200
221,7,0,7,6,22.07999992,1200
222,259,0,7,1,16.15999985,1200
223,44,0,,,5.329999924,1200
224,160,0,4,5,25.32999992,1200
225,246,0,,,16.57999992,1200
226,73,0,7,5,8.25,1200
227,-78,0,3,4,4.579999924,1200
228,177,0,4,6,4.159999847,1200
229,13,0,,,4.5,1100
230,-1,0,,,12,1200
231,401,0,,,4.659999847,1200
232,335,0,4,6,5.25,1200
233,-109,0,,,9.159999847,1200
234,1088,0,6,4,26.90999985,1200
236,-10,0,4,6,15.32999992,1200
237,400,0,7,7,9,1300
238,285,0,2,3,11.40999985,1200
239,165,0,,,4.409999847,1300
240,128,0,3,,2.25,1200
242,-48,0,3,7,1.5,1200
243,1517,0,4,9,21.82999992,1200
244,-59,0,7,3,9.75,1200
245,76,0,,,8.5,1200
246,-19,0,,,2.079999924,1200
247,10,0,,,4.079999924,1200
248,45,0,3,5,11.25,1200
250,563,0,5,6,0.829999983,1200
251,-95,0,4,9,17.75,1200
252,-69,0,7,4,11.40999985,1200
253,-16,0,,,3.410000086,1200
254,-97,0,4,9,19.65999985,1200
255,721,0,5,1,18.32999992,1200
256,-24,0,2,1,0.660000026,1200
257,-16,0,7,3,0.579999983,1200
258,-76,0,6,3,1.580000043,1300
259,-50,0,,,4,1200
260,-36,0,,,2.25,1200
261,417,0,7,2,0.159999996,1200
262,-184,0,,,17.07999992,1100
263,75,0,2,6,6.25,1300
264,135,0,,,7,1200
265,206,0,3,4,6.25,1200
266,-15,0,4,8,5.079999924,1300
267,109,0,,8,18.5,1200
268,59,0,5,8,5.25,1200
269,-34,0,3,9,13.5,1200
270,-32,0,1,,2.75,1300
271,95,0,,,18.32999992,1300
272,609,0,4,4,27.07999992,1200
273,-7,0,4,6,1.75,1200
274,-211,0,4,6,13.32999992,1200
275,-150,0,1,4,2.5,1100
276,-9,0,,,1.659999967,1200
277,92,0,5,4,29.65999985,1200
278,193,0,5,8,21.40999985,1200
279,367,0,7,9,3.25,1200
280,244,0,7,6,10.65999985,1200
281,-111,0,4,4,7.079999924,1200
282,-3,0,2,2,7.25,1200
283,245,0,2,1,5.409999847,1100
284,-15,0,2,1,4.25,1200
285,-76,0,7,1,30.90999985,1300
287,-2,0,,,5.659999847,1300
288,-27,0,,,13.40999985,1200
289,19,0,6,6,9.829999924,1200
290,326,0,,,3.5,1200
291,117,0,7,6,6.5,1200
292,755,0,7,3,10.57999992,1200
293,0,0,2,1,14.90999985,1200
294,23,0,,,1.580000043,1200
295,-60,0,6,8,9,1200
296,15,0,,,1.080000043,1200
297,-23,0,5,5,5.159999847,1200
298,-26,0,4,3,18.15999985,1200
301,184,0,2,9,4.159999847,1300
303,-8,0,3,5,9.659999847,1100
304,-40,0,,,3.660000086,1200
305,-127,0,4,9,24.75,1200
306,125,0,6,3,26.57999992,1200
307,84,0,3,5,6.079999924,1300
308,-29,0,7,6,3.829999924,1200
309,-37,0,2,2,4.159999847,1200
311,63,0,4,6,23.65999985,1200
312,15,0,,,2.329999924,1200
313,-34,0,,3,4.329999924,1200
314,49,0,6,3,26.82999992,1200
315,24,0,5,7,35.08000183,1200
316,672,0,3,9,5.659999847,1200
317,-25,0,,,3.410000086,1200
318,135,0,4,6,6.579999924,1200
319,-38,0,4,8,24.90999985,1200
320,4,0,,,21.15999985,1200
321,-33,0,,,17,1200
322,-40,0,,,24.07999992,1200
323,107,0,3,8,4.659999847,1300
325,-25,0,,,5.579999924,1200
326,-84,0,,,12.90999985,1200
327,35,0,2,6,1.580000043,1200
328,-22,0,,,2.579999924,1300
329,-25,0,7,9,11.07999992,1100
330,80,0,,,10.40999985,1300
331,254,0,4,2,7.159999847,1100
333,12,0,4,6,7,1200
334,73,0,,,0.5,1200
335,92,0,3,1,3.829999924,1100
336,-48,0,3,6,5.159999847,1200
337,551,0,4,9,5.159999847,1200
338,-22,0,4,4,6.579999924,1100
339,292,0,2,8,8.329999924,1200
340,-24,0,4,6,6.5,1200
341,-9,0,5,7,4.909999847,1200
342,151,0,,,16.57999992,1200
343,-65,0,,,7.659999847,1200
344,-25,0,7,5,12.15999985,1200
345,-47,0,,,4.909999847,1200
346,237,0,1,1,0.829999983,1300
348,-45,0,3,4,1.580000043,1200
349,-5,0,,,27.82999992,1200
350,372,0,2,9,4.75,1200
351,686,0,4,9,2.410000086,1200
352,-120,0,4,6,14.07999992,1200
353,479,0,3,7,2.410000086,1200
354,29,0,,,1.5,1300
355,-40,0,7,9,1.659999967,1200
356,-95,0,2,4,4.909999847,1200
357,-61,0,5,3,18.57999992,1200
358,-103,0,4,9,32.5,1200
359,48,0,3,8,7.909999847,1300
361,-165,0,,,15.5,1200
363,-20,0,3,3,4.329999924,1200
364,272,0,3,9,17.07999992,1200
365,378,0,4,7,27.25,1200
366,-37,0,,,1.580000043,1300
367,-31,0,4,6,0.5,1200
368,-61,0,3,3,6.659999847,1100
369,-33,0,6,6,0.5,1200
370,-37,0,3,3,1.5,1200
371,572,0,5,9,9.829999924,1200
372,112,0,3,7,5.409999847,1200
374,1227,0,,,10.82999992,1200
375,-133,0,,,23.25,1300
377,195,0,4,7,10.75,1200
378,-36,0,,,12.5,1200
379,1,0,1,,4.159999847,1300
380,51,0,,,10.40999985,1200
381,1052,0,,,40.65999985,1200
382,-41,0,5,6,18.57999992,1200
383,1,0,4,5,13.5,1200
384,210,0,4,9,13.65999985,1200
386,223,0,7,6,11.57999992,1200
388,-95,0,4,6,3.410000086,1300
389,161,0,,,12.40999985,1300
390,-181,0,4,4,18.40999985,1300
391,486,0,2,6,6.909999847,1300
393,-202,0,3,8,13.90999985,1200
394,-30,0,2,3,3.579999924,1200
395,295,0,3,6,4.829999924,1200
396,-24,0,4,6,2.579999924,1200
397,41,0,7,4,7.25,1100
399,-131,0,,,27.40999985,1100
400,416,0,7,4,2.829999924,1300
402,430,0,4,5,9.659999847,1200
403,-149,0,3,5,7.409999847,1100
404,48,0,4,4,8.159999847,1200
405,-6,0,7,3,7.409999847,1200
406,-51,0,4,6,4.75,1100
407,-29,0,,,4.329999924,1200
408,3,0,4,6,21.07999992,1200
409,-52,0,4,4,22.32999992,1300
410,163,0,5,7,17.5,1200
411,-20,0,3,6,19.32999992,1200
412,153,0,5,3,10.5,1200
413,-49,0,,,9.829999924,1200
414,223,0,,,12.07999992,1200
415,503,0,6,4,15.07999992,1200
416,119,0,2,4,6.329999924,1100
418,-38,0,,1,2.5,1200
419,-1,0,2,1,7.909999847,1200
420,-40,0,,,6.75,1200
421,-70,0,7,1,21.65999985,1200
422,552,0,3,9,10.32999992,1200
423,109,0,5,9,15.65999985,1200
424,115,0,6,7,5.659999847,1100
425,-30,0,3,5,4.75,1200
426,314,0,4,2,26,1200
427,285,0,6,9,19.15999985,1200
429,-66,0,6,6,13.57999992,1200
430,-56,0,,1,1.580000043,1100
431,392,0,4,8,7.409999847,1200
432,-112,0,6,3,11.07999992,1100
433,-48,0,,,8.329999924,1300
434,784,0,7,6,15.65999985,1200
435,-59,0,,,4.909999847,1300
436,1818,0,7,1,30.07999992,1200
437,33,0,4,1,3.079999924,1100
438,-21,0,,,1.580000043,1300
439,8,0,,,17.25,1200
440,457,0,4,6,5.909999847,1200
441,-79,0,6,3,22.5,1300
442,138,0,1,2,7.329999924,1200
443,129,0,,,10.82999992,1100
444,-27,0,3,6,2.410000086,1200
445,141,0,2,4,6,1300
446,110,0,7,4,19.82999992,1300
447,107,0,6,7,27.65999985,1200
448,-7,0,,,17,1200
449,94,0,3,5,6.829999924,1200
450,48,0,2,3,3.329999924,1200
451,-9,0,4,1,5,1100
453,-32,0,,,2.079999924,1200
454,111,0,4,2,14.75,1100
455,381,0,5,9,5.25,1300
456,-30,0,,,1.330000043,1100
457,-17,0,2,6,6.659999847,1200
458,30,0,7,1,20,1200
460,720,0,7,4,19.32999992,1300
461,210,0,3,8,7,1200
462,-54,0,,,33.83000183,1100
463,-2,0,4,6,6.579999924,1100
464,-29,0,6,,4.659999847,1300
465,-1,0,,,3.910000086,1200
466,-3,0,3,1,6.159999847,1200
467,-53,0,7,6,12,1200
468,103,0,6,3,10.5,1200
469,300,0,3,9,16.32999992,1200
470,146,0,7,9,0.910000026,1200
471,145,0,5,5,28,1200
472,-26,0,,,9.659999847,1200
473,58,0,1,6,4.829999924,1200
474,8,0,2,7,5.909999847,1200
475,380,0,,,1.659999967,1300
476,-119,0,,,4.329999924,1300
477,359,0,4,6,2.410000086,1200
478,0,0,6,5,7.329999924,1200
480,14,0,,,1,1200
481,795,0,7,9,10.90999985,1200
482,-21,0,,6,22.32999992,1200
483,-33,0,6,4,6.829999924,1300
486,677,0,,,37.40999985,1200
487,6,0,7,6,7.579999924,1200
488,-12,0,2,1,10.5,1100
489,-3,0,7,7,3.75,1300
490,61,0,7,3,18.25,1200
491,-7,0,7,6,19.25,1200
492,8,0,,,11.32999992,1200
493,558,0,2,2,1.659999967,1200
494,194,0,,,4.659999847,1200
495,10,0,,,5.829999924,1200
496,96,0,5,6,29.65999985,1200
497,258,0,3,6,10.32999992,1200
499,-72,0,7,1,10.40999985,1200
500,827,0,3,6,14.75,1200
501,785,0,,,34.25,1300
502,-34,0,4,3,30.90999985,1300
503,13,0,4,2,0.75,1200
504,-21,0,4,6,19.40999985,1200
505,-9,0,,,7.579999924,1200
506,127,0,3,5,6,1200
507,-29,0,2,6,2.329999924,1200
508,297,0,2,4,9,1200
509,14,0,,,0.5,1300
510,-82,0,7,4,13.32999992,1200
511,-34,0,7,6,7.579999924,1200
512,99,0,6,5,11.40999985,1200
513,-145,0,4,6,4.5,1200
514,-2,0,,,1,1100
515,9,0,3,9,9.75,1200
516,76,0,4,8,18.57999992,1200
517,116,0,3,9,33.75,1200
518,116,0,,,3.160000086,1200
519,-118,0,4,9,11.25,1200
520,172,0,,,22.82999992,1200
521,487,0,,,5.079999924,1200
523,-48,0,2,4,4.659999847,1100
524,147,0,3,5,4.079999924,1300
525,49,0,5,9,1.659999967,1200
526,610,0,6,6,6.75,1100
527,523,0,,,12.82999992,1200
529,205,0,3,6,7.159999847,1200
530,922,0,4,9,3.910000086,1200
531,-78,0,2,7,9.659999847,1200
532,222,0,6,2,3.329999924,1300
533,37,0,7,2,28.57999992,1200
534,-72,0,,,10.65999985,1200
535,63,0,,,8.579999924,1200
536,125,0,4,3,6.329999924,1200
537,-148,0,6,8,11.5,1200
538,1364,0,,,26.07999992,1100
539,-28,0,,,9.5,1300
540,-35,0,,1,6,1200
541,-33,0,3,6,13.5,1200
542,17,0,3,8,3.329999924,1200
543,107,0,7,9,4.909999847,1200
544,236,0,7,9,14.15999985,1200
545,124,0,4,9,5.659999847,1200
546,-31,0,2,1,12.25,1100
547,-6,0,,,2.660000086,1100
548,-18,0,5,6,28.32999992,1200
549,-30,0,4,5,1.659999967,1300
550,-3,0,3,8,3.25,1200
552,-32,0,,,4.659999847,1200
553,-26,0,6,5,6.75,1300
554,-56,0,,,3.660000086,1200
555,-31,0,,,5.579999924,1200
557,275,0,7,3,5.079999924,1100
558,491,0,,,4.25,1200
559,92,0,2,6,2.329999924,1200
560,1362,0,,,16.90999985,1200
561,226,0,6,6,3.910000086,1200
562,-58,0,4,5,3.660000086,1100
564,10,0,6,6,33.40999985,1200
565,-104,0,3,5,5.5,1200
567,-59,0,,,15.75,1200
568,10,0,4,7,18.40999985,1300
569,9,0,1,3,5.329999924,1300
571,11,0,,,5.75,1200
572,-50,0,4,5,4.25,1200
573,54,0,,,6.159999847,1200
574,379,0,2,8,4.409999847,1200
575,-56,0,,,1.330000043,1200
576,0,0,,,7.25,1300
577,105,0,,,22.40999985,1200
578,516,0,3,7,22.15999985,1200
579,531,0,5,1,13.07999992,1200
580,-113,0,2,8,4.75,1200
581,767,0,6,2,25.40999985,1200
582,736,0,4,7,17.82999992,1200
583,120,0,3,8,1.25,1200
584,-28,0,3,7,19.82999992,1200
585,-55,0,,,11.5,1300
586,152,0,3,5,5,1100
587,-4,0,4,4,3.5,1200
588,-37,0,,,1.409999967,1200
589,-47,0,,,3,1200
590,-37,0,4,3,17.90999985,1200
591,-39,0,,,6.579999924,1200
592,159,0,3,,7.159999847,1200
593,82,0,2,6,4.579999924,1200
594,-56,0,,,3.25,1200
595,-51,0,3,6,10.40999985,1300
597,1043,0,6,4,31,1200
599,16,0,2,4,5.25,1100
600,-29,0,,,5,1200
601,-89,0,3,6,14.57999992,1200
602,-29,0,7,2,18,1200
603,44,0,3,6,1.409999967,1200
604,-36,0,5,9,38.58000183,1200
605,348,0,3,8,0.660000026,1200
606,-18,0,3,6,5.829999924,1200
608,1379,0,5,9,13.40999985,1200
609,829,0,6,3,28.40999985,1200
611,50,0,1,4,5,1300
613,190,0,,,7.409999847,1200
614,-80,0,,,1.25,1200
615,-10,0,2,9,1.5,1200
617,5,0,2,6,4.159999847,1200
618,41,0,2,4,6.329999924,1200
619,48,0,3,9,8.409999847,1200
620,110,0,5,6,2.160000086,1200
621,-47,0,4,7,3.660000086,1100
622,-83,0,,,8.75,1200
623,-97,0,5,5,25.25,1300
624,466,0,2,5,7.829999924,1100
625,-31,0,,,2.25,1100
626,34,0,5,4,1.5,1300
627,282,0,4,9,23.15999985,1200
628,-28,0,4,7,7.909999847,1200
629,-89,0,5,6,1.580000043,1200
630,-31,0,5,7,16.25,1200
631,-26,0,6,1,25.75,1100
632,165,0,5,6,18.07999992,1100
633,437,0,3,9,5.409999847,1200
634,331,0,7,4,21.07999992,1100
636,881,0,3,3,5,1200
637,-4,0,,,4.079999924,1300
638,-24,0,,,17.65999985,1300
639,-46,0,3,4,6.829999924,1200
640,-33,0,5,1,0.829999983,1200
641,-51,0,3,3,20,1200
642,-17,0,4,4,3.829999924,1200
643,248,0,,,1.409999967,1300
644,-13,0,3,6,3.910000086,1200
645,-61,0,2,4,12.40999985,1100
646,82,0,4,6,26.57999992,1200
647,469,0,5,5,21.5,1300
649,76,0,6,5,30.82999992,1200
650,-4,0,,,33.65999985,1300
652,212,0,3,7,19.07999992,1200
653,1230,0,4,9,1,1200
654,-31,0,3,2,6.079999924,1200
655,273,0,6,7,6.909999847,1200
656,172,0,,,22.07999992,1200
657,46,0,,,11.65999985,1100
659,-93,0,1,1,15.82999992,1200
660,365,0,,,5.159999847,1200
661,331,0,7,9,12.07999992,1200
662,-17,0,,,7.579999924,1100
663,50,0,5,3,8.829999924,1100
664,702,0,6,7,31.75,1200
665,-33,0,,,4.5,1200
666,-2,0,,,3.410000086,1100
667,-34,0,,,9.25,1300
668,5,0,,,1.159999967,1200
669,-77,0,,,18,1200
670,349,0,3,9,4.75,1200
671,39,0,,,16.32999992,1300
672,107,0,3,1,5.75,1300
673,-31,0,3,2,4,1300
674,66,0,5,4,31,1200
675,-20,0,,,1.580000043,1200
676,-30,0,,,6.25,1100
677,189,0,6,8,30.25,1200
678,551,0,3,9,17.65999985,1200
680,-21,0,,,1,1200
681,17,0,,,1.909999967,1200
683,-45,0,3,1,14.15999985,1200
684,-3,0,2,4,4.659999847,1200
685,-184,0,,,8.909999847,1200
686,-131,0,,,6.75,1300
687,156,0,3,6,7.409999847,1200
688,10,0,,,8.079999924,1200
689,-33,0,,,7.5,1200
691,265,0,4,6,7.829999924,1200
692,140,0,5,6,27.32999992,1200
693,30,0,6,2,20.90999985,1100
694,3,0,,,0.330000013,1300
695,-16,0,4,1,7.329999924,1100
697,499,0,5,7,18.57999992,1200
698,13,0,2,,0.25,1200
699,33,0,2,6,3.910000086,1200
700,-25,0,,,3.910000086,1200
701,-108,0,2,3,11.25,1200
702,90,0,5,4,7.579999924,1200
703,137,0,7,6,8.159999847,1200
704,7,0,7,4,5.329999924,1200
705,-62,0,,,4.829999924,1200
706,93,0,5,9,18.65999985,1200
707,8,0,5,6,2.5,1100
708,3,0,7,6,36.58000183,1200
709,-95,0,7,7,7.659999847,1200
710,83,0,4,9,6.329999924,1200
711,463,0,4,7,3.75,1200
712,800,0,5,7,2.910000086,1200
713,-56,0,4,3,30.75,1200
715,65,0,,,4.079999924,1200
717,197,0,,,27.07999992,1200
718,-82,0,4,5,12.82999992,1200
719,-1,0,,,25.07999992,1200
720,-140,0,7,5,21.40999985,1300
721,249,0,6,3,21.65999985,1200
723,-6,0,5,6,1.330000043,1200
724,-23,0,3,7,1.080000043,1200
726,-21,0,2,8,6.5,1200
727,-21,0,,,1.909999967,1100
728,676,0,,,13.57999992,1300
729,119,0,4,8,7.329999924,1300
730,-7,0,,,1,1300
731,16,0,,,2.910000086,1200
732,41,0,7,1,26.32999992,1200
733,165,0,4,9,23.25,1200
734,-3,0,7,6,15.82999992,1100
735,1,0,2,9,4.909999847,1200
736,281,0,4,9,18.90999985,1200
737,181,0,3,3,11.40999985,1200
738,-61,0,4,6,0.910000026,1100
739,-15,0,2,5,3.910000086,1200
741,-37,0,,,2.329999924,1200
742,-21,0,,,2.410000086,1100
743,-72,0,3,3,2.25,1300
745,-118,0,,,21.90999985,1200
746,-32,0,4,3,7.329999924,1200
747,1,0,3,4,8.159999847,1200
748,-30,0,2,7,7.659999847,1200
749,-45,0,7,2,36,1100
752,-74,0,2,7,5.329999924,1200
753,-106,0,2,7,4.5,1200
754,-2,0,2,4,4.909999847,1100
755,-124,0,2,3,5.909999847,1200
756,-43,0,2,,1.75,1200
757,-16,0,5,1,24.32999992,1300
759,52,0,7,8,14.32999992,1200
761,-44,0,,,2.660000086,1200
762,-14,0,5,8,14.82999992,1100
764,5,0,3,7,10.25,1200
765,12,0,,,3.410000086,1200
766,-3,0,,5,21.5,1300
767,118,0,3,3,3.329999924,1200
768,495,0,4,6,7.579999924,1200
769,-22,0,7,5,11.15999985,1200
770,67,0,4,7,2.5,1200
771,-30,0,5,4,0.910000026,1100
772,571,0,3,3,4.829999924,1200
773,16,0,7,3,14.25,1200
774,-2,0,4,6,14.82999992,1200
775,60,0,2,6,4.659999847,1200
777,37,0,5,8,17.57999992,1200
778,1016,0,3,7,15.5,1200
780,-122,0,,,1.409999967,1100
781,171,0,3,9,3.25,1200
782,82,0,3,7,6.659999847,1200
783,-55,0,3,8,6.159999847,1200
784,-55,0,5,3,14.32999992,1200
786,-25,0,4,6,0.829999983,1200
787,-2,0,2,5,7.579999924,1200
789,-34,0,7,5,4.159999847,1200
790,-2,0,3,1,3,1200
791,-52,0,4,6,4.659999847,1200
792,11,0,4,2,13,1200
793,40,0,4,7,16.07999992,1200
794,15,0,6,5,5.659999847,1100
795,-64,0,,,1.5,1200
796,249,0,6,6,7.579999924,1200
797,597,0,,,8.579999924,1200
798,-199,0,2,6,5,1200
799,141,0,3,7,8.079999924,1200
800,-29,0,4,7,12.25,1200
801,-77,0,,,2.910000086,1300
802,14,0,3,3,17.07999992,1300
803,-28,0,4,5,5.079999924,1100
804,177,0,4,3,13.15999985,1200
805,56,0,,2,0.409999996,1200
806,-155,0,4,5,21.65999985,1200
807,-31,0,4,6,23.07999992,1200
808,-14,0,2,8,8,1200
809,7,0,5,6,27.90999985,1200
811,-57,0,6,4,7.079999924,1200
812,199,0,2,1,0.579999983,1200
813,-72,0,,,9.079999924,1200
814,155,0,3,8,4.25,1200
816,23,0,2,7,5.079999924,1200
817,61,0,,,16.82999992,1100
819,81,0,6,4,29.40999985,1200
821,-133,0,6,7,25.40999985,1200
822,-62,0,3,3,15.57999992,1200
823,129,0,7,1,4.5,1300
824,105,0,6,5,17.07999992,1300
826,-21,0,3,5,2.410000086,1100
827,-45,0,,,3.660000086,1300
828,846,0,7,7,17.25,1200
829,-63,0,6,1,7.25,1200
830,206,0,4,7,14.82999992,1300
831,-103,0,4,7,17.65999985,1200
833,-6,0,,,4.25,1200
834,124,0,5,7,10.40999985,1200
835,-5,0,,3,0.910000026,1200
836,-21,0,3,3,0.829999983,1200
837,-5,0,4,7,3.5,1200
838,141,0,4,6,10.57999992,1200
839,326,0,4,9,4.659999847,1200
840,108,0,,,19.32999992,1200
841,-69,0,4,3,9.659999847,1200
842,-13,0,,,3.910000086,1200
843,1130,0,5,9,6.659999847,1200
844,-61,0,7,1,26.25,1200
847,25,0,4,6,26.75,1200
848,-122,0,4,2,3.829999924,1200
849,292,0,7,6,30.07999992,1200
850,-29,0,5,6,13.82999992,1200
851,76,0,5,6,5.159999847,1200
852,-6,0,4,3,1.159999967,1200
853,-38,0,,,10.07999992,1200
854,422,0,2,7,6.75,1200
855,-23,0,4,6,10.90999985,1200
856,302,0,4,6,28.40999985,1300
857,187,0,,,19.40999985,1300
858,3,0,4,5,13.5,1100
859,-66,0,6,8,23.5,1200
860,-29,0,3,5,1.5,1200
861,385,0,,,11.5,1200
862,344,0,6,6,28.15999985,1200
863,-53,0,6,6,2.910000086,1200
864,510,0,,,30.40999985,1300
865,-17,0,,,7.829999924,1300
866,520,0,4,8,15.90999985,1200
868,-47,0,,,4.25,1200
869,179,0,3,6,12.75,1200
870,46,0,,,5.829999924,1200
